P116968	Irwin	Kabak
P21812	Arnold	Ockene
P226321	Philip	Kiviat
P328770	A.	Beged Dov
P328791	A.	Economos
P329143	BJ\\_amp\\_#248;rn	Myhrhaug
P329297	C.	Carmichael
P329670	D.	Townsend
P330010	E.	Katz
P330716	Harry	Felder
P331356	Jeffrey	Waxweiler
P331567	John	Snyder
P332443	Michael	Gilman
P333128	R.	Soule
P334284	W.	Neisius
P3904846	Melvin	Klerer
P3904847	Juris	Reiiifelds
P3904848	Melvin	Klerer
P3904849	Burton	Fried
P3904850	A.	Falkoff
P3904851	K.	Iverson
P3904852	Roger	Lazarus
P3904853	Mark	Wells
P3904854	John	Wooten
P3904855	Robert	Seitz
P3904856	Lawrence	Wood
P3904857	Charles	Ely
P3904858	Lawrence	Symes
P3904859	Roger	Roman
P3904860	Anthony	Hearn
P3904861	Stewart	Schlesinger
P3904862	Lawrence	Sashkin
P3904863	Kenneth	Reed
P3904864	Howard	Matthews
P3904865	Gerald	Bradley
P3904866	Rene	De Vogelaere
P3904867	Edgar	Sibley
P3904868	Jonathan	Millen
P3904869	Raymond	Wiesen
P3904870	Douwe	Yntema
P3904871	James	Forgie
P3904872	Arthur	Stowe
P3904873	Krzysztof	Frankowski
P3904874	C.	Zimmerman
P3904875	S.	Schlesinger
P3904876	L.	Sashkin
P3904877	C.	Aumann
P3904878	Melvin	Klerer
P3904879	Fred	Grossman
P3904880	Charles	Amann
P3904881	D.	Manelski
P3904882	H.	Lefkovits
P3904883	H.	Hebert
P3904884	C.	Abraham
P3904885	T.	Pearcey
P3904886	J.	Mitchell
P3904887	A.	Perlis
P3904888	H.	Van Zoeren
P3904889	A.	Jett
P3904890	Richard	Plocica
P3904891	Kenneth	Lock
P3904892	Kenneth	Busch
P3904893	Gottfried	Luderer
P3904894	Adrian	Ruyle
P3904895	E.	Coffman
P3904896	G.	Patton
P3904897	James	Haag
P3904898	G.	Manacher
P3904899	Richard	Cullen
P3904900	John	Rice
P3904901	Herbert	Bright
P3904902	L.	Gallaher
P3904903	I.	Perlin
P3904904	Joseph	Muskat
P3904905	Francis	Sullivan
P3904906	Paul	Borman
P3904907	Arthur	Priver
P3904908	Barry	Boehm
P3904909	Lyle	Smith
P3904910	Anne	Ammerman
P3904911	Glen	Culler
P3904912	Peter	Hill
P3904913	Arthur	Stowe
P3904914	L.	Breed
P3904915	R.	Lathwell
P3904916	Roger	Roman
P3904917	Lawrence	Symes
P3904918	Juris	Reinfelds
P3904919	Carlos	Christensen
P3904920	Robert	Anderson
P3904921	Helen	Willett
P3904922	Burton	Fried
P95456	George	Fishman
PP14024357	Benjamin	Mittman
PP14131701	A.	Frank
PP14135248	Howard	Falk
PP14172198	Martin	Goldberg
PP39040761	Kristen	Nygaard
PP39053136	Ole-Johan	Dahl
PP39109729	Julian	Reitman
P328771	A.	Bendazzi
P328823	A.	Lipinski
P328833	A.	Mollegen
P328891	Aharon	Beged-Dov
P328965	Allen	Fonda
P329116	B.	Helbrough
P329220	Billy	Easter
P329511	Christopher	Green
P329583	D.	Ebeling
P329617	D.	Lach
P329650	D.	Ross
P329651	D.	Salmon
P329660	D.	Sifferd
P329748	David	Bussard
P329822	David	Weamer
P329926	Donald	Pearson
P330006	E.	Hurst
P330070	Edward	Broad
P330182	Eugene	Telep
P330277	Frank	Pfaff
P330346	G.	Dangel
P330358	G.	Herman
P330380	G.	Raju
P330526	Gerda	Woxen
P330528	Gerhard	Hanneman
P330540	Gilbert	Gordon
P330723	Harry	Page
P330787	Herbert	Shukiar
P330816	Horst	Ulfers
P330846	I.	Mitchell
P330883	Isadore	Goldhirsh
P330958	J.	Donnelly
P331009	J.	Jenkins
P331040	J.	Metsos
P331072	J.	Peterson
P331127	J.	Walton
P331155	Jack	Levine
P331368	Jerry	Babbin
P331376	Jerry	Hooley
P331517	John	Loose
P331795	Keith	Tognetti
P331819	Kenneth	Hayward
P331948	L.	Terry
P332062	Leroy	Sanders
P332107	Lowell	Jerpe
P332241	M.	Stephenson
P332639	Norman	Glass
P332691	P.	Bourgeois
P332711	P.	Dulchinos
P332814	Paul	Becker
P332932	Philip	Drew
P332937	Philip	Hicks
P332992	R.	Ceci
P333069	R.	Maher
P333089	R.	Pasternak
P333252	Richard	Dumas
P333262	Richard	Garrett
P333421	Robert	Joyner
P333470	Robert	Snelsire
P333511	Roger	Stuebing
P333555	Ronald	Pettit
P333557	Ronald	Schwarz
P333614	S.	Ferguson
P333675	S.	Yagil
P333717	Sanford	Schram
P333757	Sherman	Hunter
P333822	Stephen	Swerling
P333982	Tasker	Generes
P334097	Tom	Carroll
P334285	W.	Nilsson
P334297	W.	Rowe
P334305	W.	Struble
P334471	William	Thompson
P68430	Donald	Gaver
PP14031951	Arthur	Little
PP14061228	Leo	Cohen
PP14067654	Donald	Miller
PP14102061	Thomas	Schriber
PP14143591	Thomas	Bell
PP14158903	J.	Johnson
PP14159776	J.	Hill
PP14163201	James	Armstrong
PP14163202	J.	Armstrong
PP14163217	J.	Armstrong
PP14192982	R.	Jones
PP15034660	Kevin	Reilly
PP309390100	Dale	Rummer
PP31025055	Julius	Surkis
PP31081523	Harold	Hixson
PP31082228	M.	Kelly
PP31082637	Donald	Ingerman
PP31090347	Martin	Pfaff
PP31092282	Robert	Roesser
PP31093287	John	Quackenbush
PP31094786	E.	Russell
PP39047569	Julian	Reitman
PP39049755	Joe	Mize
PP39074173	J.	Bubenko
PP39077681	G.	Herman
PP40034936	J.	Baer
P210298	Norman	Nielsen
P215670	P.	Jackson
P235600	R.	Scantlebury
P243381	Richard	Zwakenberg
P245859	Robert	Millstein
P29394	Bernard	Schroer
P328778	A.	Buchanan
P328905	Alan	Beckenstein
P328931	Albert	Whetstone
P328998	Andrew	Lipinski
P329117	B.	Hignnet
P329268	Bryan	Bremner
P329327	C.	Jambotkar
P329344	C.	Montagnon
P329414	Carter	Franklin
P329434	Charles	Crabtree
P329481	Charles	Willis
P329541	Clifford	Petersen
P329560	D.	Barber
P329766	David	Grant
P329794	David	Nee
P330005	E.	Hronik
P330027	E.	Newhall
P330080	Edward	Grenier
P330088	Edward	Morgan
P330222	F.	Mastromonaco
P330224	F.	Morioka
P330513	Gerald	Robinson
P330586	Guillermo	Ponce-Campos
P330599	H.	Anderson
P330633	H.	Horton
P330672	H.	Watson
P330767	Henry	Grooms
P331093	J.	Salz
P331116	J.	Sussman
P331211	James	Juckett
P331460	John	Cetinich
P331557	John	Ryder
P331599	Jon	Fellers
P331907	L.	Goodman
P331975	Larry	Cuneo
P332004	Lawrence	Akutagawa
P332009	Lawrence	Hillman
P332029	Leang	Yeh
P332121	Lyman	Dennis
P332143	M.	Bartakke
P332154	M.	Buchner
P332424	Michael	Araten
P332567	N.	Hutson
P332583	N.	Wilson
P332658	O.	Uyehara
P332683	P.	Barker
P332740	P.	Myers
P333144	R.	Waina
P333145	R.	Wainwright
P333147	R.	Walkley
P333237	Richard	Booy
P333321	Richard	Swersey
P333369	Robert	Chang
P333504	Roger	Krieger
P333689	Salvatore	Catania
P333813	Stephen	Levine
P334144	Tung	Au
P334244	W.	Farmer
P334256	W.	Hall
P334327	Walter	Kosinski
P334349	Wayne	Minger
P334396	William	Eicker
P340313	Bruce	Bolas
P341053	H.	Haynes
P341276	Jacques	LaFrance
P341381	John	Bagwell
P341604	L.	Schutte
P342379	Robert	Northcote
P91185	G.	Mihram
PP14014814	Leland	Williams
PP14017484	David	Mills
PP14021473	Alfred	Aho
PP14028112	Donald	Blumberg
PP14033639	E.	Fuchs
PP14042532	Robert	Holland
PP14045641	Dennis	Frailey
PP14068562	Wayne	Wagner
PP14081585	S.	Weinstein
PP14141770	James	Painter
PP14181306	James	Emery
PP14207823	Thomas	Standish
PP309579800	Wesley	Chu
PP31044809	J.	Graham
PP31088854	Richard	Nolan
PP31090336	Martin	Pfaff
PP31099623	Paul	Tuan
PP31101691	P.	Wilkinson
PP39039094	Ravi	Sethi
PP39050036	D.	Cowan
PP39052556	Frances	Allen
PP39097743	Edward	Fuchs
PP42050496	T.	Cheatham
PP43137982	John	Cocke
PP43144682	J.	Ullman
P109500	Henry	Bowlden
P148744	Joseph	Balintfy
P218535	P.	Wodon
P233459	R.	Klimpel
P235718	R.	Scowen
P276169	T.	Rourke
P28820	Benjamin	Brosgol
P298773	William	Clarkson
